kolom_1,pdf_1,omschrijving_1,test_kolom_1,kolom_2,pdf_2,omschrijving_2,test_kolom_2,kolom_3,pdf_3,omschrijving_3,test_kolom_3
.,rol nummer,rol_514,,.,rol nummer,rol_515,,.,rol nummer,rol_516,
.,begin nummer,350504067241539017,,.,begin nummer,350504067241542017,,.,begin nummer,350504067241545018,
.,eind nummer,350504067241542000,,.,eind nummer,350504067241545001,,.,eind nummer,350504067241548002,
.,rol nummer,rol_517,,.,rol nummer,rol_518,,.,rol nummer,rol_519,
.,begin nummer,350504067241548019,,.,begin nummer,350504067241551019,,.,begin nummer,350504067241554010,
.,eind nummer,350504067241551002,,.,eind nummer,350504067241554003,,.,eind nummer,350504067241557004,
.,rol nummer,rol_520,,.,rol nummer,rol_521,,.,rol nummer,rol_522,
.,begin nummer,350504067241557011,,.,begin nummer,350504067241560011,,.,begin nummer,350504067241563012,
.,eind nummer,350504067241560004,,.,eind nummer,350504067241563005,,.,eind nummer,350504067241566006,
.,rol nummer,rol_523,,.,rol nummer,rol_524,,.,rol nummer,rol_525,
.,begin nummer,350504067241566013,,.,begin nummer,350504067241569014,,.,begin nummer,350504067241572014,
.,eind nummer,350504067241569007,,.,eind nummer,350504067241572007,,.,eind nummer,350504067241575008,
.,rol nummer,rol_526,,.,rol nummer,rol_527,,.,rol nummer,rol_528,
.,begin nummer,350504067241575015,,.,begin nummer,350504067241578016,,.,begin nummer,350504067241581016,
.,eind nummer,350504067241578009,,.,eind nummer,350504067241581009,,.,eind nummer,350504067241584000,
.,rol nummer,rol_529,,.,rol nummer,rol_530,,.,rol nummer,rol_531,
.,begin nummer,350504067241584017,,.,begin nummer,350504067241587018,,.,begin nummer,350504067241590018,
.,eind nummer,350504067241587001,,.,eind nummer,350504067241590001,,.,eind nummer,350504067241593002,
.,rol nummer,rol_532,,.,rol nummer,rol_533,,.,rol nummer,rol_534,
.,begin nummer,350504067241593019,,.,begin nummer,350504067241596010,,.,begin nummer,350504067241599011,
.,eind nummer,350504067241596003,,.,eind nummer,350504067241599004,,.,eind nummer,350504067241602001,
.,rol nummer,rol_535,,.,rol nummer,rol_536,,.,rol nummer,rol_537,
.,begin nummer,350504067241602018,,.,begin nummer,350504067241605019,,.,begin nummer,350504067241608010,
