kolom_1,pdf_1,omschrijving_1,test_kolom_1,kolom_2,pdf_2,omschrijving_2,test_kolom_2,kolom_3,pdf_3,omschrijving_3,test_kolom_3
.,begin nummer,350504067240198017,,.,begin nummer,350504067240201014,,.,begin nummer,350504067240204015,
.,eind nummer,350504067240201007,,.,eind nummer,350504067240204008,,.,eind nummer,350504067240207009,
.,rol nummer,rol_070,,.,rol nummer,rol_071,,.,rol nummer,rol_072,
.,begin nummer,350504067240207016,,.,begin nummer,350504067240210016,,.,begin nummer,350504067240213017,
.,eind nummer,350504067240210009,,.,eind nummer,350504067240213000,,.,eind nummer,350504067240216001,
.,rol nummer,rol_073,,.,rol nummer,rol_074,,.,rol nummer,rol_075,
.,begin nummer,350504067240216018,,.,begin nummer,350504067240219019,,.,begin nummer,350504067240222019,
.,eind nummer,350504067240219002,,.,eind nummer,350504067240222002,,.,eind nummer,350504067240225003,
.,rol nummer,rol_076,,.,rol nummer,rol_077,,.,rol nummer,rol_078,
.,begin nummer,350504067240225010,,.,begin nummer,350504067240228011,,.,begin nummer,350504067240231011,
.,eind nummer,350504067240228004,,.,eind nummer,350504067240231004,,.,eind nummer,350504067240234005,
.,rol nummer,rol_079,,.,rol nummer,rol_080,,.,rol nummer,rol_081,
.,begin nummer,350504067240234012,,.,begin nummer,350504067240237013,,.,begin nummer,350504067240240013,
.,eind nummer,350504067240237006,,.,eind nummer,350504067240240006,,.,eind nummer,350504067240243007,
.,rol nummer,rol_082,,.,rol nummer,rol_083,,.,rol nummer,rol_084,
.,begin nummer,350504067240243014,,.,begin nummer,350504067240246015,,.,begin nummer,350504067240249016,
.,eind nummer,350504067240246008,,.,eind nummer,350504067240249009,,.,eind nummer,350504067240252009,
.,rol nummer,rol_085,,.,rol nummer,rol_086,,.,rol nummer,rol_087,
.,begin nummer,350504067240252016,,.,begin nummer,350504067240255017,,.,begin nummer,350504067240258018,
.,eind nummer,350504067240255000,,.,eind nummer,350504067240258001,,.,eind nummer,350504067240261001,
.,rol nummer,rol_088,,.,rol nummer,rol_089,,.,rol nummer,rol_090,
.,begin nummer,350504067240261018,,.,begin nummer,350504067240264019,,.,begin nummer,350504067240267010,
.,eind nummer,350504067240264002,,.,eind nummer,350504067240267003,,.,eind nummer,350504067240270003,
.,rol nummer,rol_091,,.,rol nummer,rol_092,,.,rol nummer,rol_093,
.,begin nummer,350504067240270010,,.,begin nummer,350504067240273011,,.,begin nummer,350504067240276012,
.,eind nummer,350504067240273004,,.,eind nummer,350504067240276005,,.,eind nummer,350504067240279006,
